APN,Acreage,Address,Assessed Value,Asset Category,City,Coordinates,County,Land Use Description,Listed Owners,Market Value,State,Tax Year,ZIP
09-31-352-011-0000,6.88,47 E South Temple,172269400.0,Mixed Use,Salt Lake City,"[-111.8891776473, 40.7707600529]",Salt Lake County,Mixed Use: Office/Retail,Corp Of Pb Of Ch Jc Of LDS,172269400.0,UT,2019,84150
08-36-477-029-0000,10.0,60 W North Temple,160404000.0,Special Purpose,Salt Lake City,"[-111.8925163022, 40.7725999138]",Salt Lake County,Religious,"Salt Lake Tabernacle Corporation, Temple Salt Lake, Corporation Of The Presiding Bishop Of T",160404000.0,UT,2019,84150
88-1146359,2.1126,1601 Vine St,151859800.0,Multifamily,Philadelphia,"[-75.1666210369, 39.959034553]",Philadelphia County,Multi Family (General),Corp Of The Presiding Bis,151859800.0,PA,2019,19103
R-4316-00C-002B-1,29.656,1751 Cityline Dr,106556150.0,Office,Richardson,"[-96.690184647, 33.001103929]",Collin County,Office Building,Property Reserve Inc,106556150.0,TX,2019,75082
216885,16.4062,13600 Kruse Oaks Blvd,65673740.0,Commercial General/Misc.,Lake Oswego,"[-122.7421921315, 45.4251027274]",Clackamas County,Commercial (General),"Temple Corp Latter Day Sts, Lds Church Tax Division",103423213.0,OR,2019,97035
16-06-101-035-0000,0.86,60 E South Temple,94076900.0,Retail,Salt Lake City,"[-111.889046067, 40.7689726151]",Salt Lake County,Shopping Center,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",94076900.0,UT,2019,84111
16-06-101-024-0000,0.3934,1 S Main St,74976300.0,Mixed Use,Salt Lake City,"[-111.8903945739, 40.7690429298]",Salt Lake County,Mixed Use: Office/Retail,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",74976300.0,UT,2019,84133
15-01-227-060-0000,0.3506,15 W South Temple,73346600.0,Mixed Use,Salt Lake City,"[-111.8917951897, 40.7690157601]",Salt Lake County,Mixed Use: Office/Retail,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",73346600.0,UT,2019,84101
16-06-101-033-0000,0.01,36 S State St,71396600.0,Mixed Use,Salt Lake City,"[-111.8888310209, 40.7683503594]",Salt Lake County,Mixed Use: Office/Retail,"Willows of Salt Lake City Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, The Church of Jesus Christ of Latter-Day Saints, Suki Hana of City Creek Inc, City Creek Reserve Inc",71396600.0,UT,2019,84111
15-01-227-062-2002,0.01,50 S Main St,68590000.0,Retail,Salt Lake City,"[-111.8934210827, 40.7685194922]",Salt Lake County,Shopping Center,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",68590000.0,UT,2019,84101
09-31-380-036-0000,2.33,201 E South Temple,33496485.0,Multifamily,Salt Lake City,"[-111.885077965, 40.769852825]",Salt Lake County,Triplex,Property Reserve Inc,64108100.0,UT,2019,84111
16-06-101-034-2006,0.01,51 S Main St,63620200.0,Retail,Salt Lake City,"[-111.8906313713, 40.7676780369]",Salt Lake County,Shopping Center,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, Morgan Jewelers of Salt Lake City Inc, The Church of Jesus Christ of Latter-Day Saints",63620200.0,UT,2019,84111
347-131-35-00,7.21,7474 Charmant Dr,60374696.0,Special Purpose,San Diego,"[-117.2285419757, 32.8662105119]",San Diego County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Springdale Corporation Of The Church Of Jesus Christ Of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The",60374696.0,CA,2019,92122
32-53798-00A-001-0000,6.545,5225 Las Colinas Blvd,58472820.0,Multifamily,Irving,"[-96.941822815, 32.880395767]",Dallas County,Multi Family (General),Property Reserve Inc,58472820.0,TX,2019,75039
R359319,28.29,9801 W Parmer Ln,57186764.0,Multifamily,Austin,"[-97.772422081, 30.48591366]",Williamson County,Multi Family (General),Property Reserve Inc,57186764.0,TX,2019,78717
27-32-328-006-0000,28.63,3740 W Market Center Dr,6156300.0,Mixed Use,Bluffdale,"[-111.9822590622, 40.5127446436]",Salt Lake County,Mixed Use: Office/Retail,Corp Of The Pb Of Ch Jc Of LDS,56574300.0,UT,2019,84065
13-03377561,27.97,Stoneybrook Dr,55179133.0,Special Purpose,Kensington,"[-77.0657251991, 39.0141515694]",Montgomery County,Religious,"Intellectural Reserve Inc, Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, Presiding Bishop Of The, The Church of Jesus Christ of Latter-Day Saints, Church Of Jesus Christ, Corporation Of The, Corporation of The Presiding Bishop",56038000.0,MD,2019,20895
09-31-351-024-0000,2.62,15 E Northtemple St,54626300.0,Public & Semi-Public,Salt Lake City,"[-111.8902392214, 40.7720539621]",Salt Lake County,Library/Museum,Corp Of Pb Of Ch Jc Of LDS,54626300.0,UT,2019,84103
5636-011-115,5.0261,1137 N Central Ave,53733449.0,Multifamily,Glendale,"[-118.258137092, 34.1630928]",Los Angeles County,Multi Family (General),Property Reserve Inc,53733449.0,CA,2019,91202
16-04-400-011-0000,30.87,1780 E Southcampus Dr,51739000.0,Special Purpose,Salt Lake City,"[-111.8366794009, 40.7602345648]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,51739000.0,UT,2019,84112
27-28-403-002-0000,0.55,12345 S 2700 W,48944890.0,Special Purpose,Riverton,"[-111.9570284934, 40.5265984762]",Salt Lake County,Religious,Corp Of Pb Of Ch Jc Of LDS,48944890.0,UT,2019,84065
153536,4.1469,9505 Arboretum Blvd,48036290.0,Office,Austin,"[-97.751486302, 30.39130318]",Travis County,Office Building,Property Reserve Inc,48036290.0,TX,2019,78759
0210-032-12-0000,17.62,9363 Lucas Ranch Rd,47027112.0,Industrial,Rancho Cucamonga,"[-117.585789472, 34.082033058]",San Bernardino County,General Industrial,Property Reserve Inc,47027112.0,CA,2019,91730
34-027-572,1.6379,Jefferson Davis Hwy,45665400.0,Multifamily,Arlington,"[-77.056098938, 38.858230591]",Arlington County,Multi Family (General),Property Reserve Inc,45665400.0,VA,2019,22202
01-117-22-23-0065,10.57,11100 Wayzata Blvd,42478000.0,Office,Minnetonka,"[-93.419465071, 44.973914932]",Hennepin County,Office Building,Property Reserve Inc,42478000.0,MN,2019,55305
16-06-126-007-0000,0.8121,166 E Social Hall Ave,41984800.0,Mixed Use,Salt Lake City,"[-111.8863925882, 40.7679682174]",Salt Lake County,Mixed Use: Office/Retail,"Corporation of The President of The Church of Jesus Christ of Latter-Day Saints, City Creek Reserve Inc, The Church of Jesus Christ of Latter-Day Saints",41984800.0,UT,2019,84111
08-36-479-003-0000,5.0018,50 E North Temple,39027700.0,Special Purpose,Salt Lake City,"[-111.8919268411, 40.7708743378]",Salt Lake County,Religious,Temple Corp of Church of Latte,39027700.0,UT,2019,84150
14-01-326-003-0000,35.88,5405 W 300 S,37798900.0,Industrial,Salt Lake City,"[-112.0201332506, 40.7601496458]",Salt Lake County,Warehouse,Corp Of Pb Of Ch Jc Of LDS,37798900.0,UT,2019,84104
R09902,7799.99,78415 Poleline Rd,13952668.0,Agricultural,Boardman,"[-119.5649821957, 45.8036394956]",Morrow County,Farm,Farmland Reserve Inc,37569850.0,OR,2019,97818
146036-1500,16.6792,9800 Touchton Rd,32099430.0,Multifamily,Jacksonville,"[-81.552584513, 30.266777336]",Duval County,Multi Family (General),Property Reserve Inc,36222900.0,FL,2019,32246
